SMILES,label,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Cl.Cl.N[C@@H](Cc1ccc([N+]([O-])(CCCl)CCCl)cc1)C(=O)O,0,12.595241297136138,12.595241297136138,0.0,-1.0487875280583612,0.40351479346588226,394.1260000000001,373.9660000000002,392.02280321999996,128,0,0.32031550189568714,-0.6272731413673123,0.6272731413673123,0.32031550189568714,1.1818181818181819,1.6363636363636365,2.0,35.496855200842035,10.06080324915005,2.19452311718064,-2.4096341687359035,2.228800278769636,-2.4583222507628895,6.181890548998456,-0.13799803443186956,2.3948011968803775,0.0,439.4162720431854,15.173362107437434,11.782984819944318,14.927835873836681,9.424869361839846,6.206067296456672,7.27511226410637,4.529800680666627,5.285729626685082,3.0711504030326235,3.4092121049240296,1.8879985041734222,2.4340881888544756,-0.27000000000000024,20719.819955409028,23.988558969812697,11.294202107536687,6.8748384270489,151.91244083686055,20.69378674858968,11.729227103831523,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,48.015946102824984,12.13273413692322,24.117007251546223,0.0,24.84951970176583,9.901064578912528,59.67263766546039,0.0,4.646338851809496,5.733667477162185,12.462662452073971,24.84951970176583,35.03617279032073,0.0,0.0,10.380006328971682,5.687386274683562,0.0,48.015946102824984,41.967193213706345,11.21535880699783,5.20725302477729,5.563451491696996,24.26546827384644,0.0,0.0,0.0,86.38000000000001,16.65748496890931,10.001790208849112,0.0,56.08440764705179,5.687386274683562,5.563451491696996,0.0,24.26546827384644,0.0,0.0,34.04207465246792,-0.585055429579239,11.332011030851818,10.692783933438696,21.354931521634263,6.792585772562775,-0.5646037851805346,5.834482972201226,0.22170914868004798,0.47671039094650247,0.0,0.46153846153846156,22,3,5,0,0,0,1,0,1,3,2,9,8,0,0,0,1,2.7673000000000005,96.58820000000003,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CC1CCCC2(C(O2)CC(OC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,0,13.212935996258473,13.212935996258473,0.04553583238851111,-1.2278439698946106,0.4486891198616772,507.6930000000002,466.3650000000003,507.265459032,196,0,0.3085519962517562,-0.45764751221759226,0.45764751221759226,0.3085519962517562,1.2285714285714286,1.9142857142857144,2.5428571428571427,32.13348132689713,9.726055086154933,2.5259110631785573,-2.3420421506622686,2.447319863975847,-2.4541026311520384,7.091971488710061,-0.1541258038159997,3.2229563369811096,1.8543203562410286,955.2228661971676,26.129027554137906,22.037218298268936,22.853714879196662,16.240743738315413,12.623531972592096,13.50318478384699,11.267746699272594,12.329973696362543,7.927034926538876,8.718776684215522,5.066840453263061,5.637002112965611,-1.61,31391201.521522895,27.9690161555879,10.788360786352277,6.586905539578758,212.4873619406242,19.68678069728151,11.887211334113243,0.0,0.0,0.0,5.969305287951849,9.589074368143644,4.9839785209472085,0.0,11.336785877934737,34.11577042168851,51.17988552798842,17.718790439553317,46.45031375825261,29.275855065425148,29.165356219085407,0.0,4.9839785209472085,17.250802561719567,110.58718487444129,0.0,21.65471899223641,0.0,0.0,0.0,0.0,0.0,11.336785877934737,56.9664999069223,19.06280027574374,24.17453976141019,84.348083004475,10.953167300535181,0.0,6.076020106833881,0.0,109.25,35.61410096675493,19.802129157825057,0.0,29.826989814184333,6.4208216229260096,35.537121090548524,0.0,32.107997477006606,32.22729447637167,11.907715720637832,9.473725907600098,11.92213734567901,1.5580150369984145,30.623248351494777,24.61134223875907,0.1791465421319779,-1.5476267768204817,0.0,1.9840372681650844,12.836366660258811,0.0,0.7407407407407407,35,2,7,0,2,2,0,1,1,8,2,8,2,0,2,2,3,4.477520000000004,135.87459999999996,0,2,2,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(=O)O,0,11.982260898260375,11.982260898260375,0.019079622431686927,-3.6666666666666665,0.03417063312808434,656.8000000000003,604.3840000000004,656.3414774840002,258,0,0.26142732314937295,-0.3560941860761987,0.3560941860761987,0.26142732314937295,0.6136363636363636,0.9545454545454546,1.2954545454545454,32.23961545419679,10.179622097392004,2.1401171761885336,-2.150447096101343,2.03017999776569,-2.3128779901361103,7.845506565828293,-0.16595447232835103,2.94298785940384,0.0,944.7628393134172,33.9680445584345,25.908860603944632,26.725357184872358,20.57749381806795,14.69384886111586,16.542160480380367,10.079503043693181,11.545543242517885,5.882887728431913,5.882887728431913,3.4476622155617926,3.4476622155617926,-2.900000000000001,667394644.4671941,43.22918544488851,26.497672900791404,30.55428803677844,259.2688143813944,16.367244685174846,0.0,0.0,29.535898646757527,10.118126859033554,0.0,44.14719486838134,15.189653174896048,8.417796984328938,0.0,6.4208216229260096,57.91132938932066,65.33080572095754,6.255769183511404,52.56499185271027,39.65402550579108,0.0,25.823230382908708,5.733667477162185,90.39441829772878,45.52430761898685,0.0,0.0,0.0,16.367244685174846,0.0,0.0,0.0,118.84216537299162,34.090812779392664,0.0,90.39441829772878,0.0,0.0,0.0,0.0,260.21,27.839666047088073,48.012241979019905,0.0,57.13191516814478,79.60462131370124,19.26246486877803,6.923737199690624,0.0,0.0,10.633577208012662,10.286417350852549,25.868055555555557,0.0,58.38062418884438,36.05658571792469,5.3931314540781,-2.051920810684872,0.0,6.551267750207579,3.2189228107412475,-3.6666666666666665,0.8076923076923077,44,8,17,0,0,0,0,0,0,11,7,18,23,0,0,0,0,0.42610000000000686,158.73989999999984,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,2,1,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
CC(C)CC(NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C(CC(=O)O)(CC(=O)O)O1,1,12.508570728703003,12.508570728703003,0.02647414891372324,-2.222387877366007,0.31847047894792313,517.1270000000003,493.9430000000003,516.0873660759999,184,0,0.5517419421396158,-0.5060698347644298,0.5517419421396158,0.5060698347644298,1.1176470588235294,1.7352941176470589,2.2941176470588234,35.49678909678646,9.735387526703763,2.574208797279693,-2.240250226880377,2.3208798384145344,-2.5134121942856957,6.514744258391003,-0.1573350153916017,3.01102224318426,2.1009906687225866,972.790888794508,25.629027554137906,18.300622910149357,19.812480802186265,15.823912624418465,10.178011408431088,10.933940354449541,8.137273229581183,8.980909136793771,4.793302006192717,5.357987330020499,3.3814448179223615,3.756917789885775,-2.825064935064935,13960351.704655394,27.41971192645425,11.541002053749208,7.339231512976625,204.75679086861783,30.155348265744763,0.0,5.601050810983688,5.907179729351506,5.907179729351506,25.02630819807991,23.97268592035911,0.0,0.0,0.0,37.04935417984628,30.537828874472233,5.022633313741326,35.91367705506872,43.49445697809121,60.04254743724795,0.0,10.633577208012662,5.917906046161393,44.65218267700877,6.544756405912575,33.80781932456448,0.0,0.0,10.633577208012662,0.0,0.0,23.20187978046503,65.14072226122639,28.48686500433798,5.917906046161393,43.46792794392809,18.19910120538483,10.045266627482652,0.0,0.0,168.32999999999998,67.769310717397,23.97268592035911,0.0,27.947445788267054,0.0,0.0,18.19910120538483,0.0,13.847474399381248,10.633577208012662,42.72365083819713,10.647954224874319,11.842492246225177,59.707150025235634,23.651383389957623,-2.1521302236936073,-6.320498474696765,4.278130044414871,-1.6023433231143587,3.174134381317234,-1.4207167349645713,0.45,34,4,11,0,1,1,1,0,1,7,4,14,11,0,1,1,2,1.5430999999999993,120.34850000000007,2,0,0,0,0,0,0,0,2,2,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,0,12.477368205304263,12.477368205304263,0.1734171752570015,-0.1734171752570015,0.4480056375508333,399.51900000000006,378.35100000000017,399.140533292,144,0,0.25631199238285046,-0.30654822154342637,0.30654822154342637,0.25631199238285046,1.0,1.8275862068965518,2.586206896551724,32.13356822461588,10.053785864101833,2.1558234480637855,-2.0742709503194394,2.3742623397844125,-2.121394105495793,7.152797474783933,0.10216762469996253,3.1921067756853856,1.6970692582899833,1151.7717358070624,20.216967702877938,16.346233783389703,17.16273036431743,14.135361590784806,9.533461435159364,10.34995801608709,6.758274714429348,7.84189647055501,4.5651197355007,5.813882194388912,3.117473314679543,4.139353518032054,-3.309999999999999,6474052.20446566,19.025899030525586,8.369043624535019,4.249856196402264,173.85349771123177,5.316788604006331,5.817862777835028,0.0,0.0,5.907179729351506,0.0,4.794537184071822,9.967957041894417,0.0,11.336785877934737,48.88539110215728,49.239845656621675,17.323746555007066,15.578698885402526,4.794537184071822,23.06182838512127,0.0,9.967957041894417,0.0,20.268296022307258,5.316788604006331,89.06140800493756,0.0,21.697978171943753,5.316788604006331,5.817862777835028,0.0,11.336785877934737,15.875136771245923,6.4208216229260096,6.923737199690624,27.8528010640092,72.9268813246908,0.0,21.697978171943753,0.0,54.88,0.0,4.794537184071822,0.0,5.907179729351506,11.381314269532023,33.12642349172253,5.563451491696996,29.666363586471032,30.33183534230805,48.41370979818123,4.9839785209472085,0.0,1.685666187835199,22.75691938149099,3.97796132058578,4.87318495948224,0.3525029767544203,21.387400682957935,2.6046315229000947,4.195066301326673,0.0,0.125,29,1,4,0,0,0,2,2,4,4,1,5,5,0,0,0,4,5.995220000000004,119.29120000000002,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,0,15.136821223859911,15.136821223859911,0.0004863079491057576,-0.6950059182623669,0.38928565430938894,457.68700000000024,442.5670000000003,456.00000833999997,142,0,0.2766399106285005,-0.3938743824839998,0.3938743824839998,0.2766399106285005,1.4444444444444444,2.2222222222222223,2.925925925925926,79.9187312450412,10.098198549427401,2.2188880771350465,-2.1494033258689145,2.3371333952232027,-2.2592090477996587,9.103011355050901,0.01685925588494858,3.00169473027451,2.0867106284228685,1011.497467706933,19.551677284948283,14.092995694776508,16.434921179909665,12.917922655570507,7.806307011985805,8.977269754552383,5.588739729198151,6.911615384730448,3.7540798090686054,4.560040456273943,2.4685363648734,3.189204819985329,-2.1999999999999993,1278262.6958032092,19.558520828692362,8.21832288234669,4.05715966483012,166.72812338732876,14.990415646638391,5.516700717616262,5.817220841045895,0.0,5.907179729351506,0.0,9.632125767808455,14.854490166743231,0.0,0.0,27.530883788181864,24.26546827384644,11.520391498509603,47.01864207621208,19.12906821032398,55.846237502133015,0.0,15.031174766859765,7.04767198267719,0.0,18.530552533032168,51.46881351092761,0.0,0.0,10.796885202127534,15.765187597041944,0.0,27.530883788181864,33.77854922195661,11.885260566413823,5.817220841045895,10.357988675768818,35.0655078644434,5.022633313741326,11.033401435232523,0.0,88.41000000000001,11.7244005703974,4.794537184071822,4.39041504767482,29.981302413022657,16.226720306041152,4.472719515832414,12.393687143226153,29.813872835853374,0.0,31.710807621024088,21.545055868809854,17.492601415461863,9.50502683519167,21.400907439711247,11.974163665068698,3.056064066830437,-1.3744650599437307,6.525081816281761,1.4524599752622538,-0.3626053764796271,1.6918763337265321,0.17647058823529413,27,3,7,0,0,0,2,1,3,6,3,10,6,0,0,0,3,3.5256000000000016,103.61070000000004,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,0,13.543777654063652,13.543777654063652,0.13197909552301645,-1.00060424979937,0.27059417062584445,585.6980000000002,542.3540000000004,585.305015336,230,0,0.4047040148198253,-0.43872669081654453,0.43872669081654453,0.4047040148198253,1.2142857142857142,1.9047619047619047,2.5,16.57778722629063,9.847521359235781,2.329948895513536,-2.296479575486855,2.284283682165242,-2.3748807387421054,6.231847257858678,-0.11979148555803704,2.935192291874461,2.6203077236130485,1212.425897498645,31.55974897445605,25.13893225295833,25.13893225295833,19.835043973341573,13.770855890808422,13.770855890808422,10.600570755327775,10.600570755327775,7.216740714650959,7.216740714650959,4.952711749055898,4.952711749055898,-3.8,652578352.3841956,34.40147855060391,15.998597983616888,9.101640408762918,246.7588068646843,35.684360941415704,6.103966387748303,6.103966387748303,11.566489892729878,5.907179729351506,6.093240070938415,14.383611552215466,4.794537184071822,0.0,6.578935683598497,44.22757493355065,38.180128221463924,43.90448670160145,23.602011401608273,38.49526499252814,23.5669096930198,0.0,10.633577208012662,17.569479569484972,64.95245759560771,20.764351488467643,71.14844854092125,0.0,0.0,16.367244685174846,4.794537184071822,0.0,0.0,73.85365412732135,28.59420041361561,11.835812092322787,40.53659204461451,71.14844854092125,0.0,0.0,0.0,166.28,53.9006812901744,24.28467613112799,0.0,41.42377176125018,11.993926152995277,6.076020106833881,20.295615189388947,45.075292026407396,6.923737199690624,17.21251289161116,19.944256338562333,16.553938412601227,0.0,51.2725712999576,16.747144691665135,6.4194893702971925,-2.1438806835870183,0.0,5.3354691442624915,10.896658947773345,2.9186088170300364,0.4838709677419355,42,5,11,1,1,2,0,0,0,9,4,11,6,0,0,0,2,2.537600000000001,157.73859999999982,0,1,1,0,0,0,0,0,0,0,4,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O,0,9.946664304610733,9.946664304610733,0.025666754164680006,-1.2570370370370372,0.41680426386933456,432.4990000000003,404.27500000000026,432.1678702359999,164,0,0.32806586375914176,-0.4780707501605797,0.4780707501605797,0.32806586375914176,1.2413793103448276,1.8275862068965518,2.3448275862068964,32.14068308319328,10.10236734993513,2.2056890819393424,-2.267289466526961,2.257898522898798,-2.421923103442502,6.991062373159799,-0.1337143957697084,3.1214326039039797,4.470832870443853e-07,652.9838382046931,21.863596551749424,16.699214520007228,17.515711100934954,13.581206017382838,8.932968195725035,9.663264939065257,7.09794105111749,7.626388738973145,3.4018782789502886,3.9039370383136536,2.0357137140421506,2.5559533399532057,-2.2800000000000002,1597237.0634176664,24.757425149700598,12.318136056349683,11.341681135721531,172.8203027829579,35.010006426979025,12.71084835226122,0.0,5.817862777835028,5.879988336435371,11.938610575903699,0.0,9.589074368143644,4.3735399814164495,4.3735399814164495,0.0,20.771211599071872,37.325234683788835,24.94195127422445,34.38238246026586,29.48466069893734,0.0,14.06386856683923,0.0,32.41410323920352,44.35482484212695,12.152040213667762,0.0,5.879988336435371,14.953561288656857,5.817862777835028,5.879988336435371,11.728187345198613,87.10307947466686,14.325937321943691,0.0,20.771211599071872,12.152040213667762,0.0,0.0,0.0,154.34,18.042576963652003,14.69560176298435,0.0,12.145807216896262,37.790548885041545,30.635562934858793,0.0,0.0,0.0,39.734989896761576,19.68678069728151,19.394052351413933,1.1244011925757955,21.206545965608466,28.810449476469497,-0.025666754164680006,-1.2677877377802966,0.0,0.5356149743848151,9.805723864825806,0.0,0.6470588235294118,29,4,11,0,1,1,0,1,1,10,4,12,8,0,1,1,2,0.21430000000000204,106.61010000000007,2,1,1,0,0,2,0,0,2,2,2,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCOCCOc1ccc(-c2ccc3c(c2)/C=C(/C(=O)Nc2ccc([S@@](=O)Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1,0,13.697806455172392,13.697806455172392,0.11465016039674092,-1.213694778804639,0.11122053908553067,696.9579999999999,644.5419999999999,696.3709271439999,266,0,0.2511032555129443,-0.491195461436774,0.491195461436774,0.2511032555129443,0.96,1.74,2.48,32.197262152245806,9.95745111274177,2.1971890846770212,-2.302682266681372,2.3322588281702066,-2.302628404552405,7.838327053979969,-0.11247353997031566,3.5417958726130996,1.2984998765913007,1730.2338741137605,35.29610720425117,30.02841765090214,30.844914231829865,24.338070191192035,18.03529606152528,19.3542279545121,13.272085231334882,14.723208948377719,8.692647515576155,10.048551274650686,6.128026972790124,7.2433249603868175,-4.209999999999999,149625517370.9626,37.055144900003995,18.689586161118477,10.403259222122667,299.91743634490865,24.25752389024826,12.356393797796823,0.0,0.0,5.907179729351506,0.0,9.00343567623629,4.9839785209472085,0.0,0.0,52.31487162707332,102.8985036674832,54.28135530881788,35.180552683777016,18.477161583836388,34.15754142845682,0.0,9.551078168738563,5.917906046161393,76.99215040156967,43.126857040220706,96.08468541607007,0.0,16.876414816677897,14.953561288656857,11.374772549367124,5.749511833283905,0.0,52.57731509561843,32.62857919343554,5.917906046161393,71.056436399938,89.72278940504239,0.0,17.202923090227873,0.0,85.68999999999998,10.799569042904308,9.00343567623629,0.0,5.907179729351506,36.99273147954359,96.21420625744865,0.0,12.524163646377618,36.39820241076966,83.8705807514998,9.473725907600098,26.670676198517782,0.0,21.094920496163468,3.0982478584238753,6.727671469554495,1.6161166506034488,22.05094762054402,10.365817534212075,13.3115191730077,-1.213694778804639,0.4146341463414634,50,1,8,0,1,1,3,1,4,7,1,9,17,0,0,0,5,8.741700000000005,205.0640999999993,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,0,15.057456144494832,15.057456144494832,0.01601140610565177,-0.8030306096203914,0.40456998279113743,441.2320000000002,426.11200000000025,440.02955887999997,142,0,0.2766399159052412,-0.3938743824839998,0.3938743824839998,0.2766399159052412,1.3703703703703705,2.1481481481481484,2.8518518518518516,79.91873123855834,10.097404449568856,2.220735204257015,-2.145500383000423,2.317131139026949,-2.2595456453647746,9.103000079562173,0.01685860846613957,3.00169473027451,2.0867106284228685,1009.497467706933,19.551677284948283,14.092995694776508,15.678992233891211,12.917922655570507,7.806307011985805,8.599305281543156,5.588739729198151,6.504415257989842,3.7540798090686054,4.247331447785644,2.4685363648734,2.801685388903719,-2.56,1278262.6958032092,19.208502772812476,7.987972379621039,3.9181567223534253,160.5903925633733,14.990415646638391,11.333921558662157,5.817220841045895,0.0,5.907179729351506,0.0,9.632125767808455,19.24490521441805,0.0,0.0,15.929943897949348,24.26546827384644,11.520391498509603,41.99600876247076,23.5194832579988,44.2452976119005,0.0,15.031174766859765,7.04767198267719,0.0,18.530552533032168,52.26340103823218,0.0,0.0,10.796885202127534,20.155602644716765,0.0,15.929943897949348,33.77854922195661,11.885260566413823,11.63444168209179,10.357988675768818,35.0655078644434,0.0,11.033401435232523,0.0,88.41000000000001,17.541621411443295,9.184952231746642,4.39041504767482,35.668688687706215,9.989420233448676,0.0,24.52642128014937,17.681138698930155,0.0,31.710807621024088,9.94411597857734,31.301551843969317,3.148752923333794,21.23136868799657,11.363563539101058,2.1594921973419003,-2.1935386553164786,5.615006860373473,1.404449001325354,-0.43363384296263896,1.6529874448376431,0.17647058823529413,27,3,7,0,0,0,2,1,3,6,3,10,6,0,0,0,3,3.0113000000000003,98.55870000000003,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
