SMILES,label,AvgIpc,BalabanJ,BertzCT,HallKierAlpha,Ipc,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,Kappa1,Kappa2,Kappa3
Cl.Cl.N[C@@H](Cc1ccc([N+]([O-])(CCCl)CCCl)cc1)C(=O)O,0,2.3948011968803775,0.0,439.4162720431854,-0.27000000000000024,20719.819955409028,15.173362107437434,11.782984819944318,14.927835873836681,9.424869361839846,6.206067296456672,7.27511226410637,4.529800680666627,5.285729626685082,3.0711504030326235,3.4092121049240296,1.8879985041734222,2.4340881888544756,23.988558969812697,11.294202107536687,6.8748384270489
CC1CCCC2(C(O2)CC(OC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,0,3.2229563369811096,1.8543203562410286,955.2228661971676,-1.61,31391201.521522895,26.129027554137906,22.037218298268936,22.853714879196662,16.240743738315413,12.623531972592096,13.50318478384699,11.267746699272594,12.329973696362543,7.927034926538876,8.718776684215522,5.066840453263061,5.637002112965611,27.9690161555879,10.788360786352277,6.586905539578758
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(=O)O,0,2.94298785940384,0.0,944.7628393134172,-2.900000000000001,667394644.4671941,33.9680445584345,25.908860603944632,26.725357184872358,20.57749381806795,14.69384886111586,16.542160480380367,10.079503043693181,11.545543242517885,5.882887728431913,5.882887728431913,3.4476622155617926,3.4476622155617926,43.22918544488851,26.497672900791404,30.55428803677844
CC(C)CC(NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C(CC(=O)O)(CC(=O)O)O1,1,3.01102224318426,2.1009906687225866,972.790888794508,-2.825064935064935,13960351.704655394,25.629027554137906,18.300622910149357,19.812480802186265,15.823912624418465,10.178011408431088,10.933940354449541,8.137273229581183,8.980909136793771,4.793302006192717,5.357987330020499,3.3814448179223615,3.756917789885775,27.41971192645425,11.541002053749208,7.339231512976625
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,0,3.1921067756853856,1.6970692582899833,1151.7717358070624,-3.309999999999999,6474052.20446566,20.216967702877938,16.346233783389703,17.16273036431743,14.135361590784806,9.533461435159364,10.34995801608709,6.758274714429348,7.84189647055501,4.5651197355007,5.813882194388912,3.117473314679543,4.139353518032054,19.025899030525586,8.369043624535019,4.249856196402264
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,0,3.00169473027451,2.0867106284228685,1011.497467706933,-2.1999999999999993,1278262.6958032092,19.551677284948283,14.092995694776508,16.434921179909665,12.917922655570507,7.806307011985805,8.977269754552383,5.588739729198151,6.911615384730448,3.7540798090686054,4.560040456273943,2.4685363648734,3.189204819985329,19.558520828692362,8.21832288234669,4.05715966483012
C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,0,2.935192291874461,2.6203077236130485,1212.425897498645,-3.8,652578352.3841956,31.55974897445605,25.13893225295833,25.13893225295833,19.835043973341573,13.770855890808422,13.770855890808422,10.600570755327775,10.600570755327775,7.216740714650959,7.216740714650959,4.952711749055898,4.952711749055898,34.40147855060391,15.998597983616888,9.101640408762918
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O,0,3.1214326039039797,4.470832870443853e-07,652.9838382046931,-2.2800000000000002,1597237.0634176664,21.863596551749424,16.699214520007228,17.515711100934954,13.581206017382838,8.932968195725035,9.663264939065257,7.09794105111749,7.626388738973145,3.4018782789502886,3.9039370383136536,2.0357137140421506,2.5559533399532057,24.757425149700598,12.318136056349683,11.341681135721531
CCCCOCCOc1ccc(-c2ccc3c(c2)/C=C(/C(=O)Nc2ccc([S@@](=O)Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1,0,3.5417958726130996,1.2984998765913007,1730.2338741137605,-4.209999999999999,149625517370.9626,35.29610720425117,30.02841765090214,30.844914231829865,24.338070191192035,18.03529606152528,19.3542279545121,13.272085231334882,14.723208948377719,8.692647515576155,10.048551274650686,6.128026972790124,7.2433249603868175,37.055144900003995,18.689586161118477,10.403259222122667
Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,0,3.00169473027451,2.0867106284228685,1009.497467706933,-2.56,1278262.6958032092,19.551677284948283,14.092995694776508,15.678992233891211,12.917922655570507,7.806307011985805,8.599305281543156,5.588739729198151,6.504415257989842,3.7540798090686054,4.247331447785644,2.4685363648734,2.801685388903719,19.208502772812476,7.987972379621039,3.9181567223534253
