SMILES,label,FractionCSP3,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount
Cl.Cl.N[C@@H](Cc1ccc([N+]([O-])(CCCl)CCCl)cc1)C(=O)O,0,0.46153846153846156,3,5,0,0,0,1,0,1,3,2,9,8,0,0,0,1
CC1CCCC2(C(O2)CC(OC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,0,0.7407407407407407,2,7,0,2,2,0,1,1,8,2,8,2,0,2,2,3
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(=O)O,0,0.8076923076923077,8,17,0,0,0,0,0,0,11,7,18,23,0,0,0,0
CC(C)CC(NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C(CC(=O)O)(CC(=O)O)O1,1,0.45,4,11,0,1,1,1,0,1,7,4,14,11,0,1,1,2
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,0,0.125,1,4,0,0,0,2,2,4,4,1,5,5,0,0,0,4
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,0,0.17647058823529413,3,7,0,0,0,2,1,3,6,3,10,6,0,0,0,3
C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,0,0.4838709677419355,5,11,1,1,2,0,0,0,9,4,11,6,0,0,0,2
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O,0,0.6470588235294118,4,11,0,1,1,0,1,1,10,4,12,8,0,1,1,2
CCCCOCCOc1ccc(-c2ccc3c(c2)/C=C(/C(=O)Nc2ccc([S@@](=O)Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1,0,0.4146341463414634,1,8,0,1,1,3,1,4,7,1,9,17,0,0,0,5
Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,0,0.17647058823529413,3,7,0,0,0,2,1,3,6,3,10,6,0,0,0,3
CC1(CCO)C[C@]2(CC[C@H](C(C)(C)C)CC2)OO1,1,1.0,1,3,1,1,2,0,0,0,3,1,3,2,1,1,2,2
CN(C)c1cccc(-c2c3c(=O)n(-c4ccccc4Cl)[nH]c3cc(=O)n2C)c1,0,0.14285714285714285,1,6,0,0,0,2,2,4,5,1,7,3,0,0,0,4
