,SMILES,label,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O,0,14.945481969958259,14.945481969958259,0.0,-2.3534381141562335,0.1456788241967126,825.9050000000002,770.4649999999999,825.35717006,322,0,0.40774710722156504,-0.4557376731538227,0.4557376731538227,0.40774710722156504,0.9491525423728814,1.5423728813559323,2.0847457627118646,16.637268075317486,9.444002582164057,2.7763751259719727,-2.6697491393355297,2.637928756797394,-2.814215266677429,5.938741412901468,-0.34551815285336046,3.144412387322181,6.6149737109964545e-06,1978.3416229466118,42.74998341876801,34.384962475611374,34.384962475611374,26.990414843854843,19.33466298515773,19.33466298515773,17.573846614463754,17.573846614463754,12.56716788569392,12.56716788569392,9.559609692764472,9.559609692764472,-4.71,1464011835189.8,45.375682619139084,16.046796682128942,7.659135006023285,341.67166249411423,54.90340478825077,35.61796717296058,17.488262145096932,0.0,0.0,24.001155934793964,9.589074368143644,14.383611552215466,0.0,0.0,62.37841094707413,63.46108068721186,25.180370914939424,35.64903718866435,73.55930210460353,29.784400881158902,0.0,5.316788604006331,16.747886984954953,127.70033243196583,6.606881964512918,82.93678272814864,0.0,0.0,5.316788604006331,4.794537184071822,0.0,0.0,115.7205350203569,38.06792632121571,16.747886984954953,90.19482183999078,71.80987974475464,0.0,0.0,0.0,255.94999999999996,112.42190107762873,44.39879549972193,0.0,35.21355597515582,5.563451491696996,6.923737199690624,25.980208536304467,83.14962254614599,0.0,5.316788604006331,23.684314769000245,29.507859364191926,0.0,68.90980717341509,51.56241389387875,-8.13552639593535,-5.363479982528286,14.62746069590883,-11.482330648139211,11.790462565874922,0.0,0.5581395348837209,59,7,16,3,1,4,2,0,2,14,5,16,8,2,1,3,6,2.4349000000000025,207.21819999999943,0,4,3,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,5,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,1,15.18304277792763,15.18304277792763,0.07630304948347777,-1.883873546368781,0.11786115760162932,1255.4379999999994,1168.7499999999993,1254.6284746719996,490,0,0.32896249221605184,-0.45836747529865424,0.45836747529865424,0.32896249221605184,0.6111111111111112,1.0333333333333334,1.4444444444444444,16.551544280605494,9.979279205397383,2.4644062089104164,-2.3573518272313336,2.35291229726605,-2.611694909398212,6.103559087852672,-0.16312289168093877,0.8928234033823161,1.3208241868707518,3416.9750833567773,66.97663336732207,54.134276641637484,54.134276641637484,42.10163029441587,30.527496783055554,30.527496783055554,25.543887943195333,25.543887943195333,17.52323484596421,17.52323484596421,12.277858056588098,12.277858056588098,-8.720000000000002,8.308789954605445e+20,68.7652375195437,27.571948433999033,13.704301230794632,521.8226518603487,70.29115712294384,71.753288121145,11.343267560516685,52.686228226712586,11.814359458703011,11.938610575903699,52.73990902479004,14.573052889090853,0.0,0.0,61.456264665986595,88.67967803527071,46.8436522342309,29.903802069902703,71.42532305351531,87.79751500336083,0.0,55.650591322075414,23.671624184645573,169.31079229667182,60.10338103152124,44.60986767968357,0.0,11.454175413722904,32.42961228508805,5.687386274683562,0.0,0.0,220.3062177385082,57.419097748318315,37.519098584026814,126.7635388235419,21.34442225804839,0.0,22.553896272981408,0.0,359.97999999999996,190.68776042769932,52.73990902479004,9.589074368143644,53.9180273192041,18.405094737549014,9.799819461700956,80.69427259010575,62.3136347972156,0.0,21.267154416025324,24.608522842762838,18.29715262748304,0.0,199.2508969525003,10.681160314999978,3.568276919814764,-12.363301552971892,-7.900671330041046,-1.650609259966071,18.365291069855516,5.5851375916587696,0.6129032258064516,90,6,28,1,5,6,1,0,1,18,5,28,8,0,4,4,7,0.7256400000000032,325.4772000000006,0,0,0,1,0,1,0,0,0,0,12,12,0,0,0,7,4,1,0,4,0,0,0,0,0,0,0,10,0,1,1,0,0,0,2,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,1,12.826666981607458,12.826666981607458,0.09193056080456885,-1.6949844256139357,0.46304615262258836,384.24500000000006,359.0450000000001,384.19688568000004,148,0,0.4749647122685063,-0.4257360952865367,0.4749647122685063,0.4257360952865367,1.1071428571428572,1.8214285714285714,2.392857142857143,16.378687245732912,9.74596434846048,2.2988982874270216,-2.2387195891570166,2.0850815346306972,-2.546262997470485,6.432550792701841,-0.123009254806496,2.6752263701822323,2.1619332305440584,759.0436469670761,20.518297090128673,15.947767755576168,15.947767755576168,13.363081100704115,9.13789914488264,9.13789914488264,6.964666142522541,6.964666142522541,4.113162282885618,4.113162282885618,2.7539669302795877,2.7539669302795877,-2.7750649350649352,1408881.2155927708,21.524172160754688,10.531039362336648,6.750183039885146,164.11611240521268,20.68162235814467,11.735768823996422,0.0,5.907179729351506,5.907179729351506,7.118392334224363,14.573052889090853,4.9839785209472085,0.0,0.0,44.179309741689295,17.9021791607844,18.814508766152162,12.138036169478873,19.63711951827565,18.932751792927373,0.0,20.60153424990708,5.917906046161393,38.67215107224702,0.0,60.17974554369273,0.0,0.0,10.633577208012662,0.0,0.0,0.0,50.931787411967555,11.21535880699783,5.917906046161393,36.320212692924535,48.92236605714727,0.0,0.0,0.0,124.44000000000001,30.91578521994113,19.63711951827565,0.0,18.032655663935863,6.4208216229260096,5.563451491696996,18.59053071483923,0.0,44.179309741689295,20.60153424990708,0.0,0.0,0.0,33.07797794477448,24.450794335551283,0.9456827653901069,-1.7203417003471129,8.326027304542365,4.78381958130921,3.8310241943936028,-1.6949844256139357,0.3684210526315789,28,4,8,0,0,0,1,1,2,6,4,9,9,0,0,0,2,0.36059999999999964,105.00950000000005,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1,12.568396954481036,12.568396954481036,0.04520626746168088,-1.012484854401225,0.16221462387574467,780.9490000000002,716.4370000000002,780.4296067280001,312,0,0.33066101375082235,-0.4579796474063008,0.4579796474063008,0.33066101375082235,0.6909090909090909,1.290909090909091,1.8727272727272728,16.740962470818445,9.422150111309,2.705647363449231,-2.6466077979952445,2.6967997496497143,-2.666417879245334,5.850098723713081,-0.335924396523092,3.673753658404126,0.8374981988041249,1409.0037418555949,39.189141007523446,32.904204385552106,32.904204385552106,26.010750257449796,20.940873252225263,20.940873252225263,18.815636027838842,18.815636027838842,15.951628518858236,15.951628518858236,12.762329157364425,12.762329157364425,-1.2700000000000002,1464396350590.4775,40.506602762877655,15.080660135484404,6.950374051685667,323.3224245630436,63.79720504564457,24.918781127757825,18.870080188005637,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,13.847474399381248,106.79750376659157,30.75347544500869,54.4327819129701,68.59174222971639,5.969305287951849,0.0,0.0,34.501605123439134,196.86248511485988,6.606881964512918,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,134.83011288572968,37.952577860672164,34.501605123439134,105.24772385063923,11.64912463690315,0.0,0.0,0.0,203.05999999999997,90.92578534586912,35.43370155311605,0.0,61.11132711687205,18.75954929201341,44.09803426762532,0.0,19.92349450621513,13.847474399381248,6.923737199690624,33.15804067660034,42.07609305117681,0.0,11.94416008709359,66.86696110569042,-0.8917606903031147,0.20418191395697838,0.0,-1.5118808956400893,9.895578761358749,0.0,0.926829268292683,55,6,14,4,4,8,0,0,0,14,6,14,7,4,3,7,8,2.218100000000003,192.61079999999941,0,6,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,1,12.952335946914921,12.952335946914921,0.019499233983250264,-5.542129730703803,0.16458620161139678,606.7820000000003,559.4060000000001,606.316607464,234,0,0.4527288343983045,-0.507956030715,0.507956030715,0.4527288343983045,0.926829268292683,1.5853658536585367,2.292682926829268,32.19721735865879,9.517654395529327,2.57085892164702,-2.5286156158317974,2.6239142533313666,-2.4676781199791815,7.844605609867308,-0.2837810294250383,3.2015054305088433,1.150604729617495,1031.0760558388988,29.838288046437583,24.240363570662097,25.056860151589824,19.33215401017807,15.626694705472667,17.11472857718525,13.192683446783283,14.888832838965902,10.559530831654973,12.047564703367557,8.283545498228262,9.480081906848909,-1.2200000000000004,781031347.5040078,32.688788694826,13.607009315201468,7.655620741681275,243.6928033558202,10.213054789681411,5.749511833283905,0.0,0.0,0.0,12.098827685538051,4.208898492164469,0.0,21.9520752383741,0.0,51.5150340057083,103.71282475776765,28.726097879323895,6.103966387748303,36.37402852021998,10.799569042904308,0.0,0.0,23.16870860788096,127.35676166302855,11.505707213493578,29.32600418877882,0.0,5.749511833283905,0.0,21.9520752383741,5.749511833283905,0.0,44.13045456862581,17.220390665830315,23.16870860788096,113.86004895021019,18.19910120538483,0.0,0.0,0.0,57.53,35.740039974294376,36.37402852021998,0.0,17.27181046389187,41.59481124760228,77.04985947511214,11.126902983393991,0.0,12.13273413692322,12.990104268152233,0.0,74.51272203673797,0.0,0.0,20.97700947791931,2.7255327562614275,-1.914025678071536,5.916987984589773,5.97315119734432,2.3025003778249378,-1.3549892637173133,0.8125,41,2,3,3,0,3,1,0,1,3,2,9,14,2,0,2,4,8.682600000000003,152.6519999999998,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
5,CC1=NC(=CC=C1)C2=NN3CCCC3=C2C4=C5C=C(C=CC5=NC=C4)C(=O)N,0,11.730897422916723,11.730897422916723,0.44674780534854475,-0.44674780534854475,0.5985637476273391,369.428,350.27600000000007,369.15896022800007,138,0,0.24822000165394512,-0.36559918029522215,0.36559918029522215,0.24822000165394512,1.1785714285714286,2.0714285714285716,2.892857142857143,16.146290199216352,9.954086014153921,2.2541809991312913,-2.097153109599502,2.3935911153670277,-2.1015333266775134,6.029425547772525,0.10001751034394923,3.2805106232433805,1.8259684891738754,1241.1448909349422,19.250347897697555,15.514575438729974,15.514575438729974,13.61419354072963,9.342872590430936,9.342872590430936,7.115896275000741,7.115896275000741,5.267511921553773,5.267511921553773,3.9868239343806926,3.9868239343806926,-3.5399999999999996,4962579.32326893,16.62044611934542,6.265677933742757,2.568437792916498,161.59407769772437,5.733667477162185,5.693927994848461,0.0,5.907179729351506,0.0,0.0,19.44429716111142,0.0,5.098681808301038,0.0,6.06636706846161,61.7270343480093,40.64258316508136,11.210628712464722,4.794537184071822,16.81010466143256,0.0,19.74844178534064,5.733667477162185,26.31013685145522,0.0,65.61272053223827,0.0,22.514758973090913,5.733667477162185,0.0,0.0,0.0,25.655621514692143,12.965578028838586,6.923737199690624,28.16666628839175,48.66141305084435,0.0,33.41768390517197,0.0,86.69,5.907179729351506,4.794537184071822,0.0,0.0,5.563451491696996,58.49801155178502,5.693927994848461,12.263210640074686,43.321939610460284,9.665781456092393,15.816327806410431,2.08222017510708,0.0,20.900909968058237,5.7834629314688835,12.774197428703655,-0.44674780534854475,13.344872769559819,3.8412274554883683,2.886523743629173,0.0,0.18181818181818182,28,2,6,0,1,1,1,3,4,5,1,6,3,0,0,0,5,3.5138200000000017,107.77090000000003,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
6,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0,13.700872071050643,13.700872071050643,0.1140556237927266,-3.7132752267573705,0.6120873727300362,263.2,252.11199999999994,263.071762272,100,0,0.35131379854975847,-0.393564363221731,0.393564363221731,0.35131379854975847,1.6111111111111112,2.2777777777777777,2.7777777777777777,19.28589249751449,10.113259945532505,2.5898329279445527,-2.203522994767572,2.4136828214623733,-2.413505706665207,5.2334337977271534,-0.14048761492283335,2.5183619408733295,2.4191219777016335,506.83126955905954,13.499635521070495,9.032488305270315,9.032488305270315,8.374245891192093,5.044753463050231,5.044753463050231,3.8710878934285597,3.8710878934285597,2.663557921514029,2.663557921514029,1.7228616480990466,1.7228616480990466,-1.58,10211.95767024135,12.866060785008985,4.264616604979357,1.8546532535041447,99.43404632324696,20.683585220643646,11.92182916558333,6.103966387748303,6.22790117073487,0.0,11.61227256629805,4.567099647791355,4.794537184071822,13.764808616296847,0.0,0.0,6.06636706846161,6.196843571613076,6.606881964512918,23.7307478388311,5.817862777835028,0.0,9.551078168738563,0.0,24.358363114326053,12.340549441675103,22.74749122234998,0.0,0.0,11.423410875365658,14.598692873184667,0.0,0.0,44.50147686652407,4.736862953800049,0.0,6.22790117073487,17.057747824146507,0.0,0.0,0.0,110.60000000000001,36.654988477042444,18.681894674262168,0.0,5.817862777835028,4.567099647791355,12.263210640074686,0.0,0.0,0.0,4.9839785209472085,15.57705782580294,32.70181783824641,0.0,14.718198223733939,18.10387760351054,4.209688995968757,-3.827330850550097,1.1522751322751323,-4.687900132275133,-0.7872934775762155,0.0,0.5555555555555556,18,4,7,0,1,1,0,1,1,7,3,9,2,0,1,1,2,-1.2886,54.85900000000001,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Cc1ccc(=O)n(-c2ccccc2)c1,0,11.534818594104308,11.534818594104308,0.0016666666666669272,0.0016666666666669272,0.6668204072157461,185.22600000000003,174.13799999999998,185.084063972,70,0,0.25455972000459637,-0.2840650293188537,0.2840650293188537,0.25455972000459637,1.0,1.7142857142857142,2.4285714285714284,16.139670830662634,10.251777940489395,1.9681766074820146,-2.0471843259931837,2.03957819823743,-2.1572034684690418,5.3195032490920005,0.9764978564940928,2.2295928748411127,2.6265243874423194,485.17495788858764,9.966255326250886,7.97426403948083,7.97426403948083,6.770856947829097,4.519578970119783,4.519578970119783,3.250238829611011,3.250238829611011,2.0933342542266082,2.0933342542266082,1.3836954263254397,1.3836954263254397,-1.8299999999999992,2104.7356738500102,8.754379606904399,3.499332613254203,1.5929698524109863,82.44458100754319,0.0,0.0,0.0,0.0,5.559266895052007,0.0,9.361636831863176,0.0,0.0,0.0,24.26546827384644,24.619922828310838,17.95059691475825,0.0,0.0,0.0,0.0,4.567099647791355,0.0,6.923737199690624,0.0,64.57866862166517,0.0,5.687386274683562,5.559266895052007,0.0,0.0,0.0,4.567099647791355,0.0,6.923737199690624,5.563451491696996,53.45595023491617,0.0,5.687386274683562,0.0,22.0,0.0,4.794537184071822,0.0,5.559266895052007,0.0,11.250837766380558,0.0,10.633466716252965,49.51878318207336,0.0,0.0,1.6481481481481481,0.0,11.534818594104308,0.0,1.982826908541195,0.0,13.018187830687829,1.8449074074074074,1.971111111111111,0.0,0.08333333333333333,14,0,2,0,0,0,1,1,2,2,0,2,1,0,0,0,2,2.1459200000000003,56.776000000000025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0,5.87098820026174,5.87098820026174,0.692414393800577,0.692414393800577,0.4505726789966775,371.524,342.29200000000014,371.224914548,144,0,0.11890333123050092,-0.49226449447092097,0.49226449447092097,0.11890333123050092,0.7142857142857143,1.25,1.7857142857142858,16.477564073801492,9.880766821803205,2.1249395124783494,-2.168105744985228,2.3435768561106105,-2.1889487244379717,5.980852209262774,0.2611505744063253,2.7348712069781036,1.9959473772927907,880.7355335102352,19.769373945685235,17.059685998178228,17.059685998178228,13.685871848001627,9.90684881871516,9.90684881871516,7.115272621558707,7.115272621558707,4.790265908287313,4.790265908287313,3.348420112266566,3.348420112266566,-2.839999999999999,2692338.48996718,19.908794575753564,9.910993617354528,5.113643813383921,168.6489043143239,9.636772684650527,12.356393797796823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.72014202122996,60.48546326043312,6.544756405912575,0.0,4.736862953800049,11.146209060138535,0.0,4.899909730850478,0.0,13.344558822616634,27.246982335779872,101.61949343355356,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,32.14689206663035,0.0,0.0,30.034913297707618,84.92913895846256,0.0,11.146209060138535,0.0,12.47,0.0,0.0,0.0,0.0,6.606881964512918,18.71508986212249,27.83656353522952,0.0,0.0,110.84812985435806,4.736862953800049,5.87098820026174,0.0,2.1230161675679353,0.0,6.369187126105418,0.9127511652809271,29.820595624675086,0.9675864004922445,3.8262552088248265,4.109620106791824,0.23076923076923078,28,0,2,0,0,0,3,0,3,2,0,2,8,0,0,0,3,5.9961000000000055,119.58200000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,0,13.873487826625382,13.873487826625382,0.004887286391268564,-5.287249485234997,0.15037535419403683,723.65,687.362,723.213874872,276,0,0.4706726934198656,-0.506847954676333,0.506847954676333,0.4706726934198656,1.0784313725490196,1.7647058823529411,2.411764705882353,19.41339851331829,9.7153886726441,2.510310928034295,-2.4255322740463425,2.522977177220226,-2.5726407868455974,6.310731300484975,-0.2502913069451591,3.0718425006367713,1.5797388971231756,1776.49540958306,37.57625683240109,27.665532037025127,27.665532037025127,23.926795682877703,16.079570222221925,16.079570222221925,12.679915413971687,12.679915413971687,9.289684307610937,9.289684307610937,6.635434120991255,6.635434120991255,-4.58,74325305745.56342,37.669834590550046,14.208377027836098,7.023139300402498,287.98492520111586,44.69034999856935,28.953552698583707,18.68015364021307,11.566489892729878,0.0,18.05278353474683,23.97268592035911,0.0,13.171245143024459,0.0,25.477292959539852,19.410925891078243,42.37364096679502,42.04992562101309,76.51749245794659,29.22621985639817,0.0,5.316788604006331,0.0,94.79352018709254,13.716679505790452,51.579810155566804,0.0,17.248535499851716,10.05365155780638,13.171245143024459,17.248535499851716,0.0,99.68615860395839,35.01502203654162,0.0,95.02533222008522,18.19910120538483,0.0,0.0,0.0,215.21999999999997,120.14260938980618,57.57004064274639,0.0,34.4241394229979,12.841643245852019,0.0,32.232635946352985,5.316788604006331,6.923737199690624,0.0,18.947451815200196,61.1391662495305,0.0,64.94738468217413,47.22430111516856,-4.848417006395429,-7.655882808796434,2.5759449432367765,-12.343283819067455,2.2084204597579276,1.252366184391419,0.5,51,5,14,2,1,3,2,0,2,13,5,17,10,0,1,1,5,2.4622,165.16289999999972,0,2,1,0,0,0,0,2,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,4,0,0,3,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
